date,series_id,series_name,category,area_type,value,units,source
2023-01-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,154780.0,thousands,BLS
2023-02-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,155086.0,thousands,BLS
2023-03-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,155171.0,thousands,BLS
2023-04-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,155387.0,thousands,BLS
2023-05-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,155614.0,thousands,BLS
2023-06-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,155871.0,thousands,BLS
2023-07-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,156019.0,thousands,BLS
2023-08-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,156176.0,thousands,BLS
2023-09-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,156334.0,thousands,BLS
2023-10-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,156520.0,thousands,BLS
2023-11-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,156661.0,thousands,BLS
2023-12-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,156930.0,thousands,BLS
2024-01-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,157049.0,thousands,BLS
2024-02-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,157271.0,thousands,BLS
2024-03-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,157517.0,thousands,BLS
2024-04-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,157635.0,thousands,BLS
2024-05-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,157828.0,thousands,BLS
2024-06-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,157915.0,thousands,BLS
2024-07-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,158003.0,thousands,BLS
2024-08-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,158074.0,thousands,BLS
2024-09-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,158314.0,thousands,BLS
2024-10-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,158358.0,thousands,BLS
2024-11-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,158619.0,thousands,BLS
2024-12-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,158942.0,thousands,BLS
2025-01-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159053.0,thousands,BLS
2025-02-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159155.0,thousands,BLS
2025-03-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159275.0,thousands,BLS
2025-04-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159433.0,thousands,BLS
2025-05-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159452.0,thousands,BLS
2025-06-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159439.0,thousands,BLS
2025-07-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159511.0,thousands,BLS
2025-08-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159485.0,thousands,BLS
2025-09-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159593.0,thousands,BLS
2025-10-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159420.0,thousands,BLS
2025-11-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159476.0,thousands,BLS
2025-12-01,CES0000000001,"Total Nonfarm Employment (All Employees, SA)",employment,national,159526.0,thousands,BLS
2023-01-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,299.17,index,BLS
2023-02-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,300.84,index,BLS
2023-03-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,301.836,index,BLS
2023-04-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,303.363,index,BLS
2023-05-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,304.127,index,BLS
2023-06-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,305.109,index,BLS
2023-07-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,305.691,index,BLS
2023-08-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,307.026,index,BLS
2023-09-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,307.789,index,BLS
2023-10-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,307.671,index,BLS
2023-11-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,307.051,index,BLS
2023-12-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,306.746,index,BLS
2024-01-01,CUUR0000SA0,CPI All Items (CPI-U U.S. city avg NSA),inflation_context,urban,308.417,index,BLS
